
PSRJ	DM	dDM/dt
 	pc/cm3	pc/cm3/yr
-----------	---------	---------
J1834-0010 	  88.6500	  0.09000
J1834-0426 	  79.3080	  0.00200
J1835-0643 	 472.9000	
J1835-1106 	 132.7900	  0.02000
J1836-0436 	 231.5000	
J1836-1008 	 316.9800	 -3.00000
J1837-0045 	  86.9800	  0.00300
J1837-0653 	 316.1000	  0.04000
J1840+5640 	  26.6980	  0.00400
J1841+0912 	  49.1070	  7.00000
J1841-0425 	 325.4870	  0.01200
J1842-0359 	 195.9800	  0.02000
J1844+1454 	  41.5100	  0.00160
J1844-0244 	 429.0000	
J1844-0433 	 123.1580	 -0.00700
J1844-0538 	 412.8000	
J1845-0434 	 230.8000	  0.10000
J1847-0402 	 141.9790	 -0.00760
J1848-0123 	 159.5310	  0.00070
J1848-1414 	 134.4700	  0.04000
J1848-1952 	  18.2300	  0.00100
J1849-0636 	 148.1680	  0.00700
J1850+1335 	  60.1470	  0.00070
J1851+0418 	 115.5400	  0.00600
J1851+1259 	  70.6150	  0.02300
J1852+0031 	 787.0000	
J1852-2610 	  56.8140	  0.00500
J1854+1050 	 207.2000	  0.00000
J1854-1421 	 130.4000	  0.00900
J1856+0113 	  96.7400	 -5.00000
J1857+0057 	  82.3900	 -0.00900
J1857+0212 	 506.7700	
J1857+0943 	  13.2988	  0.00002
J1900-2600 	  37.9940	 -0.00330
J1901+0156 	 105.3940	 -0.00400
J1901+0331 	 402.0800	  1.50000
J1901+0716 	 252.8100	 -0.00500
J1901-0906 	  72.6770	 -0.00030
J1902+0556 	 177.4860	 -0.00200
J1902+0615 	 502.9000	 -0.01200
J1903+0135 	 245.1670	  6.00000
J1903-0632 	 195.6110	 -0.00300
J1904+0004 	 233.6100	  0.00600
J1904-1224 	 118.2300	  0.00200
J1905+0709 	 245.3400	 -0.04000
J1905-0056 	 229.1310	 -0.00010
J1906+0641 	 472.8000	
J1907+4002 	  30.9600	 -0.00100
J1909+0007 	 112.7870	  0.00120
J1909+0254 	 171.7340	  0.00200
J1909+1102 	 149.9820	 -0.01580
J1910+0358 	  82.9300	 -0.03000
J1910+1231 	 258.6400	 -0.01000
J1910-0309 	 205.5300	  2.00000
J1911-1114 	  30.9620	 10.00000
J1912+2104 	  88.3400	  0.00500
J1913+1400 	 145.0520	 -0.00010
J1913-0440 	  89.3850	 -0.00130
J1915+1009 	 241.6930	  0.00000
J1915+1606 	 168.7080	 -0.00900
J1915+1647 	  62.5700	  0.00800
J1916+0951 	  60.9530	 -0.00090
J1916+1312 	 237.0090	 -1.70000
J1917+1353 	  94.5380	  5.00000
J1917+2224 	 134.9300	  0.03000
J1918+1444 	  27.2020	  4.00000
J1919+0021 	  90.3150	 -0.00600
J1920+2650 	  27.6200	 -0.02000
J1921+1419 	  91.6400	 -0.00900
J1921+1948 	 153.8500	 -0.00900
J1921+2153 	  12.4550	 -0.00100
J1922+2018 	 203.3100	 -0.01000
J1922+2110 	 217.0860	  0.00000
J1926+0431 	 102.2430	 -0.00300
J1926+1434 	 211.4100	  0.01000
J1926+1648 	 176.8850	 -0.00300
J1932+1059 	   3.1800	 -5.00000
